Date,Open,High,Low,Close,Volume
2025-04-01,170.03,171.25,169.45,170.50,55000000
2025-04-02,171.10,172.30,170.80,171.90,48000000
2025-04-03,172.00,173.50,171.20,172.80,51000000
2025-04-04,173.00,174.20,172.50,173.90,53000000
2025-04-05,174.10,175.00,173.20,174.30,49000000
2025-04-06,174.50,176.10,174.00,175.80,60000000
2025-04-07,176.00,177.20,175.50,176.40,58000000
2025-04-08,176.50,178.00,176.00,177.90,62000000
2025-04-09,178.10,179.50,177.80,178.70,61000000
2025-04-10,179.00,180.20,178.50,179.80,64000000
